Hospital Name,About Hospital
University Hospital Heidelberg,"University Hospital Heidelberg (UKHD) is one of the most modern hospitals in Europe, which offers almost every possible treatment for common and rare diseases. The hospital provides an ideal environment for cutting-edge medicine at an international level to benefit patients. The hospital has 50 specialized clinical departments, including 13 medical theory and pre-clinical institutes. Every year, a medical team of 11,300 employees treats 65,000 inpatients and more than a million outpatients, including 27,000 overseas patients. The clinic has 1,991 beds in modern, pleasant single and double rooms. Patients and their companions can choose three or more daily menus, including vegetarian and halal options. Medicine at the Heidelberg University Hospital is practiced by world-renowned medical professionals who are internationally leading experts in their fields.  All hospital specialists have extensive experience, especially when it comes to the treatment of severe and rare diseases. Modern buildings with state-of-the-art equipment allow patients worldwide to receive medical care that meets the highest international standards. The hospital is especially renowned for its cancer treatment.  A recent innovation in cancer care is establishing the National Center for Tumor Diseases and the German Cancer Research Center.  In addition, the hospital has a Heidelberg Ion Beam Therapy Center (HIT), the first combined proton/heavy ion therapy facility in a European hospital. The medical team treats orthopedic diseases, cardiovascular and neurological diseases, endocrine and metabolic disorders, and gynecological and urological diseases. In addition, surgeons have exceptional experience in organ transplantation. In 1967, one of the first kidney transplants in Germany was performed at the hospital. At Heidelberg University Hospital, around 200 autologous and 100 allogeneic stem cell transplants are conducted yearly, with many patients being cured. Doctors pay special attention to innovative treatment methods using minimally invasive techniques, laser therapy, and high-frequency surgery."
University Hospital Tubingen,"University Hospital Tubingen, founded in 1805, is one of the leading centers of German university medicine. As one of the 32 university hospitals in Germany, the hospital successfully combines first-class treatment, research, and teaching. The hospital includes 1585 beds for inpatients. More than 385,000 inpatients and 75,000 outpatients worldwide benefit from the link between science and practice every year, as 17 clinics and 20 centers bring specialists from all fields under one roof. The university hospital, the region's largest employer, has about 10,000 full-time and part-time employees. With around 600 apprentices in over ten different professions, the University Hospital Tubingen is the largest apprenticeship provider in the region. According to Focus Medical magazine, the University Hospital of Tubingen is one of the top five clinics in Germany.  The hospital was the first in Germany to confirm the high quality and efficiency of medical care with the KTQ certification. The hospital's specialists cooperate in various fields and offer modern, research-based treatment for all patients. The University Hospital researches to improve diagnosis, treatment, and healing processes. Many new advanced treatments are being clinically tested and applied in Tübingen. In 2018 the hospital's team of neurologists was awarded the Eva Luise Kohler Research Prize for developing the first specific drug therapy for severe early epilepsy.  In addition, the hospital opened Germany's first certified breast center for breast cancer patients and enjoyed a first-class reputation in cancer diagnosis and treatment and onco surgery for ovarian, uterine, and cervical cancer. The University Hospital Tubingen is one of the most advanced medical institutions, offering a wide range of general and highly specialized medical services. The hospital has 41 specialized departments, including transplantology, hematology, oncology, pediatrics, internal medicine, neurology and neurosurgery, cardiothoracic surgery, gynecology, mammology, and obstetrics. The medical team focuses on the patient, so the hospital is proud of its achievements in diagnosing and treating various diseases."
University Hospital Ulm,"University Hospital Ulm (UKU) is the youngest of the university hospitals in Baden-Württemberg. With 39 years of experience, the hospital has taken a strong position in university patient care, research, and teaching. Today the hospital is an integral part of the region's and country's medical and scientific arena. With 29 clinics and 16 institutes, the hospital offers patients in the region and beyond inpatient and outpatient care at the highest level. Approximately 50,000 patients are treated annually at the University Hospital. In addition, there are almost 300,000 outpatient cases quarterly. More than 3,300 babies are born in the hospital every year. The clinic employs 6,400 people, including 850 doctors and 1,500 nurses. According to FOCUS magazine, the University Hospital Ulm ranks 18th out of 1,680 hospitals across Germany.  In 2012, the clinic opened an ultra-modern complex for surgical clinics and dermatology for maximum quality and patient comfort. Medical services in diagnostics and treatment are combined with research and teaching.  Every day, clinical and scientific experts strive to understand human disease better and find better patient treatments.  The hospital uses modern MRI, CT, ultrasound, and endoscopic instruments for accurate and timely diagnosis. As an effective therapy, doctors prefer to use minimally invasive techniques. Particular attention is also paid to plastic and reconstructive surgery. University hospital treatment provides extensive care in all medical disciplines based on a comprehensive approach to medical care. By combining all the departments' experiences, specialists can find the best therapy for each disease. The departments include ophthalmology, internal medicine, neurology, nuclear medicine and radiology, orthopedics and traumatology, gynecology, and obstetrics. In clinics and specialized treatment centers, patients are cared for by highly qualified doctors and nursing staff. As a result, all patients can be confident in the quality and effectiveness of medical services, as doctors strictly follow national and international guidelines."
University Hospital Halle (Saale),"University Hospital Halle (Saale) (UKH) is a nationally recognized institution of utmost care for complex, severe, and rare diseases and injuries in southern Saxony-Anhalt. The hospital treats patients following the latest scientific discoveries. Furthermore, patients benefit from close integration with the medical faculty of Martin Luther University Halle-Wittenberg. According to Focus magazine, the hospital was included in the list of the best medical institutions in the country in 2019. The University Hospital serves about 42,000 inpatients and 195,000 outpatients annually in more than 30 clinics, institutes, and departments. In addition, the hospital has an Emergency Center, considered the largest in the region, as it serves more than 40,000 patients annually. The clinic consists of 982 beds in comfortably equipped wards. In the teaching block of the hospital, about 2,500 students receive theoretical and clinical knowledge. The hospital pays special attention to cardiovascular diseases and oncology. The medical team uses unique methods in diagnostics and therapy, such as the modern hybrid operating room in the Central German Cardiac Center with cardiac surgery and cardiology or the Da Vinci operating robotic surgery in urology. In addition, the hospital has a transplant center that has been working for over 40 years. Highly qualified surgeons transplant more than 40 kidneys, including those from living donors.  The university hospital also has a perinatal center where vital interventions can be carried out already in the prenatal period. The departments of the university hospital include all areas, whether it is ophthalmology, gynecology, cardiology, orthopedics and traumatology, endocrinology, pediatrics, urology, dermatology, or otolaryngology. The hospital is famous for its success in the field of endoprosthetics.  The endoprosthesis department has already been certified several times by the German Society for Orthopedics and Orthopedic Surgery, which confirms the high professionalism of the doctors.  The medical team also takes care of elderly patients in a specialized department of senior care. Every year, the university clinic proves the qualifications of doctors and nurses at all stages of diagnosis and treatment."
University Hospital Carl Gustav Carus Dresden,"University Hospital Carl Gustav Carus Dresden is Germany's most reputable medical facility. It offers its patients the most modern medical services and provides almost the entire range of utmost care. The hospital was founded in 1815, and still, it remains one of the leading providers of medical services in East Saxony. The focus is on cancer therapy and metabolic and neurological diseases. The Dresden University Hospital, with 26 clinics, four institutes, and 17 interdisciplinary centers, is the largest in the city. Every year, 60,000 outpatients and 280,000 inpatients receive modern medical care. With 1,300 inpatient beds and 95 outpatient departments, the hospital offers a full range of medical services at the highest level of quality. A staff of 5,600 professionals strives to provide superior service and care. The University Hospital tops the ""Best quality of care and patient care in Germany"" list published by Focus Health. The priority areas of work of the medical team are research activities, which allow doctors to introduce innovative diagnostic and therapeutic methods into clinical practice. The University Hospital Carl Gustav Carus is the national cancer center in Germany and is certified by the German Cancer Society.  The hospital is also a training center for the Association of Gynecological Oncology and the German Breast and Ovarian Cancer Center. The overall goal of the medical staff is to understand the needs of each patient admitted to the hospital. The specialized departments of the hospital include internal medicine, neurology, ophthalmology, pediatrics, plastic surgery, traumatology, urology, and palliative medicine. The Carl Gustav Carus University Hospital offers patients various diagnostic methods and surgical treatment, including minimally invasive, endoscopic, and robotic operations, antitumor chemotherapy and radiation therapy, and aftercare, following the latest scientific guidelines."
Hannover Medical School Hospital,"Hannover Medical School Hospital (MHH) is one of the top ten hospitals in Germany and one of the top 15 best clinics in Europe. The scientific work of the clinic guarantees Germany a leading position in the world of medicine. It takes part in forming world standards for the quality of medical care. The 400,000-square-meter MHH campus is located in the Gross-Buchholz district on Karl-Wiechert-Allee and covers more than 50 football fields. MHH also excels in patient care, treating more than 63,000 inpatients and over 500,000 outpatients annually, taking advantage of the synergy between top-notch medical research and state-of-the-art diagnostic and treatment technologies. Nearly 1,300 experienced doctors and 3,500 employees work in over 20 medical fields. The hospital performs more than 450 solid organ transplants annually, the highest in Germany, and is the world's leading lung transplant clinic. In addition, about 140 bone marrow and hematopoietic stem cell transplants are performed annually. MHH is involved in transplant and stems cell research, regenerative medicine, infection and immunity research, and public health and health systems research. More than 30,000 square meters of laboratories are at the disposal of more than 1,400 scientists on the campus in Gross-Buchholz. High results in treatment are guaranteed by high-tech equipment, doctors with extensive practical experience, and scientific achievements of the clinic's research institute. MHH and its research center lead in the number of grants allocated for research by clinic specialists.  Since 2016, the University Hospital has been operating the largest certified oncology center in the region, providing comprehensive multidisciplinary medical care, according to the German Cancer Society. The departments of the University Hospital include anesthesiology, cardiology, dermatology, pediatrics, plastic surgery, psychology, neurology, and ophthalmology. In addition, doctors pay special attention to gastroenterology and visceral surgery. The hospital's medical team offers patients modern and innovative treatment of the highest quality, attentive care, sensitivity to the patient's problems, and understanding of their individual needs. Thus, patients can ensure highly qualified doctors protect their health."
University Hospital Schleswig-Holstein Kiel,"University Hospital Schleswig-Holstein Kiel (UKSH) is a highly specialized medical institution in northern Germany. UKSH is fit for the future. With its new central clinic buildings, opening in 2019, UKSH is one of Europe's most modern medical centers. As the only center for utmost care in Schleswig-Holstein, UKSH covers the entire spectrum of contemporary medicine and ranks among the most important employers and training leaders in the federal state. The university hospital has a capacity of 1,178 beds. The medical team treats over 50,000 inpatients and 135,000 outpatients annually in over 45 specialized departments. In addition, more than 1,500 babies are born at the hospital annually. On the territory of the hospital, there is also a pharmacy, a cafeteria, and a library for patients and their relatives. University Hospital Schleswig-Holstein guarantees highly individualized and interdisciplinary diagnostics and therapy that includes medical innovations such as precision medicine for chronic inflammatory diseases and cancer, as well as robotic surgery.  UKSH is one of the three best-digitalized hospitals in Germany and thus achieves the top position in the north. In the new buildings, a digitization strategy was consistently implemented to make outpatient and inpatient patient care even more effective - in an IT network that meets the highest security standards.  In the same year, the news magazine ""Focus"" ranked UKSH among the top 3 hospitals in Germany. The hospital has established several specialized centers, such as the Center of Excellence in Inflammatory Medicine, the North Hormone Center, the North Cancer Center, the Interdisciplinary Transplant Center, the North University Lung Center, and the North Trauma Center. The hospital's medical staff has exceptional experience and professionalism to guarantee high-quality medical services according to international standards. Patients can expect a bright atmosphere that supports the recovery process, effective diagnostics and therapy, digital service technologies, and a high level of comfort."
Immuno-Oncological Center IOZK Cologne,"Immuno-Oncological Center IOZK Cologne specializes in individual cancer therapy with specific immune system activation. A team of leading physicians and experienced scientists work together in an interdisciplinary manner. In the clinic, the results of fundamental immunological research are directly applied to the treatment of cancer patients. As a result, IOZK offers important therapeutic options that complement and enhance traditional tumor treatments. IOZK is a treatment medical facility with a laboratory in Cologne, Germany. The extensive treatment center comprises examination and consultation rooms, conference rooms, offices, and state-of-the-art laboratories of the highest standard. The doctors and scientists of the clinic have been working on the immune system's role in developing cancer and chronic infectious diseases since 1985. A team at the medical center has developed the first autologous cancer vaccine in Europe, which has been approved following regulatory guidelines. The IO-VAC® cancer vaccine activates the patient's immune system and allows it to start fighting cancer cells. The vaccine uses the patient's dendritic cells, tumor antigens, and an oncolytic virus. IOZK individual immunotherapy is considered a pioneering solution in the fight against cancer.  The medical center received the German Medical Prize 2020 for the discovery.  Current standard therapies attempt to fight the tumor but do not consider the potential of the body's defense mechanisms against tumor growth. The clinic's treatment is based on a combination of specific immunotherapy adapted to the patient's individual immunological and oncological needs. The specialists of the medical center have exceptional experience in the field of internal medicine, oncology, pediatric hemato-oncology, and immunology. The range of therapeutic services of the clinic includes immunotherapy, antitumor vaccination, antibody therapy, hyperthermia, and supportive measures to strengthen the immune system and patients. With the help of complex individual therapy, doctors can offer patients gentle treatment and the best quality of life."
University Hospital Greifswald,"University Hospital Greifswald is a medical institution with a long tradition and an excellent reputation. The history of the University Hospital Greifswald began in 1794. And in 2010, the clinic and the university's medical faculty were merged into the Medical Center. For more than 200 years of medical activity, the hospital has earned recognition among national and international patients. Today, the University Hospital of Greifswald includes a wide range of services, within which 21 clinics, 19 institutes, and other central institutions work together. Every year, the medical staff treats more than 36,000 inpatients and 100,000 outpatients. The hospital has more than 920 beds for inpatient treatment in single or double rooms. In addition, surgeons perform more than 6,000 outpatient surgeries annually. The hospital also has services such as a university pharmacy, cafeteria, bookstore, and hospital chaplain. The clinic doctors have extensive experience in practical and scientific medical activities and use advanced treatment methods, using modern equipment and drugs. The latest medical care standards minimize the patient's stay in the clinic and avoid complications.  The hospital is one of the few medical facilities in Germany where cardiac surgeons successfully perform heart transplants.  In addition, the University Hospital has a blood center where anyone can donate blood for seriously ill patients. Various cultural offerings provide entertainment for patients, relatives, and visitors in the hospital. It includes exhibitions that can be seen throughout the year in the hospital's lobby.  According to Focus magazine, University Hospital Greifswald has repeatedly been included in the list of the best medical institutions in Germany. The hospital's primary goal is to meet patients' expectations and needs and provide adequate, individually planned, professional care. The hospital's departments include internal medicine, otolaryngology, ophthalmology, gynecology and obstetrics, pediatrics, urology, oncology, and hematology. In addition, the hospital has a specialized palliative care center where a medical team takes care of patients with terminal illnesses. All diagnostic and therapeutic interventions are carried out strictly with European standards, ensuring high-quality medical care."
Hadassah University Medical Centre Jerusalem,"Hadassah University Medical Center Jerusalem is a tertiary-level hospital that treats virtually every conceivable aspect of modern medicine and serves as a national reference center for complex medical cases. The hospital provides the most advanced diagnostic and therapeutic services in Israel for the local and national populations and many foreign patients. For almost 100 years, Hadassah Medical Center has been a leader in medicine and nursing in the country, laying the foundation and setting the standard for the modern healthcare system. Opened in 1961, the sprawling Hadassah Hospital consists of more than 28 buildings with specialized services at the Institute of Oncology, the Department of Hematology, and the Department of Cancer Immunobiology and Bone Marrow Transplantation. The hospital has over 130 departments, 800 beds, 31 operating rooms, and nine special intensive care units. The hospital annually provides medical and surgical care to about 1. 5 million people. Of these, about 85,000 are inpatients and 75,000 outpatients. In addition, the medical center admits 40,500 oncological and hematological patients and provides services for the birth of 12,000 newborns. Hadassah University Medical Center is Israel's only academic medical institution that combines teaching and learning on the same campus.  Hadassah provides outstanding education and clinical experience with the Hebrew University. About 60% of scientific medical research in Israel is carried out in the Hadassah clinic.  In 2020, Hadassah researchers received six of the eight coveted research physician grants awarded by the Israel Science Foundation. Thanks to the clinic's achievements in artificial insemination, the first child with the help of IVF was born in the country. In addition, Prime Minister Israeli Ariel Sharon was treated in the neurological department of the clinic.  Since 2005, the medical team has been successfully engaged in gene therapy for cancer, anemia, and genetic diseases, and two years later, developed a vaccine against autoimmune Crohn's disease. The clinic is proud of the newest building of the hospital - Sarah's Tower Watsman Davidson. It is an impeccably designed, low-energy state-of-the-art hospital building for which a team of architects received a building design award. The hospital has departments for all types of diseases, and some departments are the only ones of their kind in the Jerusalem area. Specialized centers such as the Patricia and Russell Fleischman Center for Women's Health, the Marlene Greenbaum Multidisciplinary Breast Center, and the Center for Brain Diseases and the Heart Institute are unique in Israel. The high competence of doctors guarantees patients high-quality medical care. Hospital gardens provide green space for emotional support for patients and staff."
University Hospital Otto-von-Guericke Magdeburg,"University Hospital Magdeburg is one of the top hospitals in Germany that offers maximum care for the full range of medical services, education, and research. The hospital and the Medical Faculty of the Otto von Guericke University form the University Medical Center Magdeburg. It was founded in 1891. As the largest medical center in northern Saxony, it consists of over 25 specialized departments with a bed capacity of 1,100 beds. The medical team, consisting of more than 4,100 employees, treats over 47,000 inpatients and 247,000 outpatients annually. Furthermore, the hospital collaborates closely with neighboring hospitals and specialists and educates many medical students. In addition, the Faculty of Medicine of the University of Magdeburg trains about 1,000 future doctors at the university hospital. The Faculty of Medicine maintains two main lines of research. These are the specialties of neurology and immunology, including the molecular medicine of inflammation.  Magdeburg has developed into a leading center for neuroscience research in close collaboration with the Otto von Guericke University and the Leibniz Institute for Neurobiology.  University Hospital opened a unique Europe scientific center for applied research on the brain and medical technologies in June 1998.  The first in Europe magnetic resonance tomograph with a magnetic field of 7 Tesla was installed in the clinic.  The medical team pays special attention to the area of neurodegenerative diseases, in particular dementia. In 2007, Magdeburg Hospital was named one of the four German Centers for Systems Biology for excellence in immunological and cell biology research. The medical team has exceptional experience diagnosing and treating various diseases in adults and children. When choosing therapy, doctors always consider individual indications and, first of all, prefer conservative treatment methods. If surgical intervention is necessary, specialists use sparing minimally invasive techniques. The specialized units and fields of primary activity include general, abdominal, vascular, and transplant surgery; orthopedics; cardiology and cardiac surgery, gynecology and obstetrics; ophthalmology, otolaryngology; plastic and aesthetic surgery."
